ARS-ID,정류소명,x,y
"16519",관음삼성.보람더하임아파트,126.8703390953,37.5523918530
"16520",공작세탁소,126.8544401434,37.5364422471
"16521",골목시장,126.8502518598,37.5486075938
"16523",등촌9단지,126.8487360899,37.5614109573
"16524",염창중학교,126.8708858373,37.5533856093
"16525",대통마트,126.8559420149,37.5349950393
"16526",SK브로드밴드강서방송,126.8493050000,37.5477950000
"16527",정곡초교,126.8192242698,37.5758342814
"16528",강서세무서.공항초교,126.8206543687,37.5622522262
"16529",남부시장,126.8577380059,37.5325240357
"16530",수정빌딩,126.8477104030,37.5459801496
"16532",다솔마을,126.8165255014,37.5544315583
"16533",화곡유치원,126.8462664743,37.5443288873
"16534",마곡엠밸리14단지,126.8256176482,37.5579836715
"16535",등촌7단지아파트,126.8528632774,37.5613007240
"16536",삼천리아파트,126.8698683759,37.5561945982
"16537",화곡중앙하이츠빌라,126.8580631836,37.5307501767
"16538",본동시장,126.8442459937,37.5428076267
"16539",마곡엠밸리14단지,126.8248595994,37.5583989714
"16540",한서고등학교.보람아파트,126.8115225018,37.5748645164
"16541",한마음아파트,126.8677499892,37.5550724888
"16542",곰달래아파트,126.8572184612,37.5297763537
"16543",본동사무소,126.8479750657,37.5426498316
"16544",볏골어린이공원,126.8422378938,37.5412341626
"16545",방신시장.LG베스트샵,126.8125843271,37.5734042763
"16546",마곡엠밸리11.12단지상가,126.8211381551,37.5587795397
"16547",삼성아파트,126.8542188476,37.5293973909
"16548",거성빌라,126.8490727205,37.5421754821
"16549",마곡13단지힐스테이트상가,126.8198553768,37.5579626214
"16550",겸재정선미술관입구,126.8376528905,37.5718060175
"16551",한국건강관리협회,126.8511523244,37.5537733814
"16552",이마트.증미역,126.8625764720,37.5571431869
"16553",은창아파트,126.8518104450,37.5291018091
"16554",강서구립봉제산어르신복지센터,126.8502811948,37.5417689449
"16555",본동시장.새마을금고본점,126.8426414374,37.5428750603
"16556",금호APT,126.8371190447,37.5743395628
"16557",강서구청입구,126.8496150445,37.5532133507
"16558",등촌강변샤르망오피스텔,126.8571774507,37.5586060292
"16559",마곡13단지힐스테이트후문,126.8180003430,37.5566866986
"16560",대영마트,126.8510472508,37.5405713872
"16561",우체국,126.8458057586,37.5442300923
"16562",벽산아파트,126.8368242138,37.5755754600
"16563",우장산꿈에그린아파트,126.8478022070,37.5533190250
"16564",등촌현대아파트,126.8551124134,37.5565999363
"16565",까치산역1번출구,126.8463020787,37.5325935735
"16566",정은파크빌,126.8514106558,37.5400028700
"16567",화곡초교,126.8465633982,37.5435899051
"16568",벽산아파트,126.8367000793,37.5755747269
"16569",롯데3차APT,126.8465871321,37.5528590238
"16570",하이웨이주유소,126.8540324727,37.5555509154
"16571",까치시장,126.8460569941,37.5335823515
"16572",약수터,126.8514909997,37.5387720758
"16573",금호APT,126.8370017987,37.5743062244
"16574",강서구민회관,126.8442226561,37.5530448413
"16576",선교교회,126.8477999422,37.5343551077
"16577",겸재정선미술관입구,126.8374881509,37.5718522835
"16578",발산어린이집,126.8416575507,37.5543867243
"16579",화곡탑건진선미아파트,126.8468894239,37.5360178286
"16580",삼거리,126.8501983087,37.5374354654
"16581",롯데1차,126.8405870640,37.5545105596
"16583",개나리슈퍼,126.8480171771,37.5365401642
"16586",강서노인회관,126.8399883229,37.5545798739
"16588",빨래터세탁소,126.8492270308,37.5369837617
"16589",안골공원,126.8512562763,37.5359325283
"16591",우장산월드메르디앙아파트,126.8378879580,37.5548235700
"16592",방화동동부센트레빌아파트,126.8139740000,37.5733840000
"16593",삼거리,126.8502274379,37.5373435922
"16594",강남슈퍼,126.8510524927,37.5351948865
"16595",프라임마트,126.8179558738,37.5729063446
"16597",태창아파트,126.8507807505,37.5376479633
"16598",신정초교,126.8511994867,37.5325972086
"16599",정은파크빌,126.8515188365,37.5400330721
"16601",마곡한솔솔파크,126.8226147427,37.5702717321
"16602",가양역,126.8556211531,37.5608830457
"16603",길훈아파트,126.8225088992,37.5687303003
"16604",마곡중학교,126.8205046239,37.5688671431
"16605",김포공항국내선,126.8032830771,37.5594997181
"16606",마곡나루역,126.8278788621,37.5671596971
"16608",롯데R&D센터,126.8282833912,37.5698736840
"16609",마곡나루역,126.8277330000,37.5653880000
"16612",대한항공,126.8152082350,37.5500991745
"16613",LG사이언스파크,126.8341672174,37.5631816896
"16614",김포공항국내선,126.8037257233,37.5594925953
"16615",마곡엠밸리1단지,126.8190972189,37.5679344588
"16616",마곡나루역,126.8256803538,37.5668046466
"16617",마곡나루역5번출구,126.8273287125,37.5651464096
"16618",대한항공,126.8164510032,37.5498907319
"16619",서울식물원.숲문화학교,126.8345377923,37.5661329047
"16621",마곡역2번출구,126.8262177529,37.5599268698
"16622",강서세무서.공항초교,126.8208014089,37.5619131666
"16623",강서세무서,126.8222020528,37.5622730513
"16624",마곡엠밸리7단지입구,126.8246318308,37.5650204501
"16625",마곡엠밸리7단지,126.8239183391,37.5670953428
"16626",마곡역,126.8269377133,37.5617923790
"16627",마곡엠밸리3단지입구,126.8192790076,37.5679685289
"16628",마곡중학교정문,126.8208276070,37.5686461110
"16629",길훈아파트,126.8226411768,37.5688290086
"16630",마곡한솔솔파크,126.8227275268,37.5701403007
"16631",프라임마트,126.8183547349,37.5728862386
"16632",방화동동부센트레빌아파트,126.8137166146,37.5734672851
"16633",방신시장,126.8129135954,37.5734927260
"16634",한서고등학교.보람아파트,126.8116479087,37.5746083026
"16635",마곡역,126.8273134977,37.5624111292
"16636",동아1.2차아파트,126.8717999109,37.5546295582
"16637",약수터,126.8513960940,37.5381784353
"16638",동아1.2차아파트,126.8719746897,37.5546984877
"16639",화곡역,126.8388076510,37.5412537664
"16640",마곡우림필유아파트,126.8206261981,37.5720049486
"16641",마곡우림필유아파트,126.8202682597,37.5720478850
"16677",대영마트,126.8511545807,37.5406026134
"16700",롯데R&D센터,126.8284219808,37.5701052507
"16702",마곡엠밸리7단지.712동,126.8200374325,37.5673840052
"16703",신방화역4번출구.마곡중학교,126.8200374325,37.5673840052
"16704",신방화역7번출구,126.8164963599,37.5669218583
